pathway_model,metabolite,n_samples,spearman_rho,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_ASDO_var2,phytosphingosine,193,0.22371213276276167,0.0017632776671787547,0.07022413678098084,True,False
CORE_EMP_alt,pterin,193,0.22365925965493294,0.0017678325720374575,0.07022413678098084,True,False
CORE_EMP2,N6-carboxymethyllysine,193,-0.2236425671705571,0.0017692728210236919,0.07022413678098084,True,False
CORE_EMP,phenylacetate,193,0.22360918220180545,0.0017721565299692894,0.07022413678098084,True,False
CORE_EMP,gamma-glutamylphenylalanine,193,0.22316775912069237,0.0018106907020249143,0.07135902373226055,True,False
CORE_TK_var1,palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,193,-0.22141087440696633,0.0019717478575009607,0.07719780726279747,True,False
CORE_TAL,putrescine,193,0.22092919995062252,0.00201812722856836,0.07719780726279747,True,False
CORE_ASDO,indolepropionate,193,0.22075388071394106,0.0020352533762337767,0.07719780726279747,True,False
CORE_ASDO_var2,indolepropionate,193,0.22075388071394106,0.0020352533762337767,0.07719780726279747,True,False
CORE_EMP2,3-methyladipate,193,0.2207130361625981,0.002039262250599103,0.07719780726279747,True,False
CORE_ASMO,gamma-glutamylhistidine,193,0.22069332688654353,0.002041199277108685,0.07719780726279747,True,False
CORE_ASDO,"N6,N6,N6-trimethyllysine",193,0.2204369351399033,0.002066550503435462,0.07719780726279747,True,False
CORE_ASDO_var2,"N6,N6,N6-trimethyllysine",193,0.2204369351399033,0.002066550503435462,0.07719780726279747,True,False
CORE_ASDO,3-ketosphinganine,193,0.22038797606749097,0.0020714238858307436,0.07719780726279747,True,False
CORE_ASDO_var2,3-ketosphinganine,193,0.22038797606749097,0.0020714238858307436,0.07719780726279747,True,False
CORE_TAL,catechol sulfate,193,0.22033618002321176,0.002076591043952123,0.07719780726279747,True,False
CORE_ASMO,glucuronate,193,0.22002185069680602,0.002108200832345385,0.07726858997264183,True,False
CORE_EMP_alt,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",193,-0.21999525933443725,0.002110894912515932,0.07726858997264183,True,False
CORE_ASMO,glycocholate,193,0.21984748080233096,0.0021259241203208453,0.07726858997264183,True,False
CORE_EMP1,pterin,193,0.21969895626787952,0.0021411272213991486,0.07726858997264183,True,False
CORE_TAL,indolepropionate,193,0.2196101460669329,0.0021502650931706844,0.07726858997264183,True,False
CORE_ASDO,2-piperidinone,193,0.21957886297604498,0.0021534923162092354,0.07726858997264183,True,False
CORE_ASDO_var2,2-piperidinone,193,0.21957886297604498,0.0021534923162092354,0.07726858997264183,True,False
CORE_ASDO,3-carboxyadipate,193,-0.21854437167340554,0.0022627260589065685,0.08010123038160821,True,False
CORE_ASDO_var2,3-carboxyadipate,193,-0.21854437167340554,0.0022627260589065685,0.08010123038160821,True,False
CORE_EMP,pterin,193,0.2185163052187383,0.0022657585964847584,0.08010123038160821,True,False
CORE_EMP,gamma-glutamylisoleucine*,193,0.21837543598726622,0.0022810351760651415,0.08024793019405757,True,False
CORE_TAL,indolelactate,193,0.21817925414476663,0.002302466112617861,0.08060866798155347,True,False
CORE_ASMO,eicosapentaenoate (EPA; 20:5n3),193,0.21738727704882133,0.002390854665905121,0.08328068105790204,True,False
CORE_EMP_alt,gamma-glutamylalanine,193,0.21729033291923933,0.0024018832030010574,0.08328068105790204,True,False
CORE_ASDO,4-hydroxyphenylacetate,193,0.21699176251804575,0.0024361399765918212,0.08364389031777923,True,False
CORE_ASDO_var2,4-hydroxyphenylacetate,193,0.21699176251804575,0.0024361399765918212,0.08364389031777923,True,False
CORE_TAL,succinate,193,0.21689659415534068,0.002447152087777512,0.08364389031777923,True,False
CORE_TAL,1-linoleoylglycerol (18:2),193,0.21644584807415085,0.0024999252102347685,0.08460836613006302,True,False
CORE_EMP2,6-oxolithocholate,193,0.21641230787465987,0.0025038930701224552,0.08460836613006302,True,False
CORE_ASDO,2-isopropylmalate,193,0.2162573764318607,0.002522295995280581,0.08460836613006302,True,False
CORE_ASDO_var2,2-isopropylmalate,193,0.2162573764318607,0.002522295995280581,0.08460836613006302,True,False
CORE_ASDO,I-urobilinogen,193,0.21572922383490065,0.0025859566686869616,0.0859443294680662,True,False
CORE_ASDO_var2,I-urobilinogen,193,0.21572922383490065,0.0025859566686869616,0.0859443294680662,True,False
CORE_ASMO,cysteine,193,0.21544424775823023,0.0026209082923366925,0.08652675642299028,True,False
CORE_ASMO,N-acetylglucosamine/N-acetylgalactosamine,193,0.21539108029007972,0.0026274763805650128,0.08652675642299028,True,False
CORE_ASMO,arachidonate (20:4n6),193,0.2151252429493272,0.0026605412862153914,0.08721738070993365,True,False
CORE_EMP2,leucylglycine,193,-0.21482893542011644,0.002697840376719573,0.08785653996970387,True,False
CORE_TK_var1,linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,193,-0.21477718871855134,0.002704402644658106,0.08785653996970387,True,False
CORE_ASMO,genistein,193,0.21443898875757153,0.0027476490683631845,0.08863587778266205,True,False
CORE_TAL,imidazole lactate,193,0.21429657447799116,0.002766046713062927,0.08863587778266205,True,False
CORE_ASDO,daidzein,193,0.21405164138002064,0.002797949417037311,0.08863587778266205,True,False
CORE_ASDO_var2,daidzein,193,0.21405164138002064,0.002797949417037311,0.08863587778266205,True,False
CORE_EMP2,leucylalanine,193,-0.21396435401938274,0.0028093989862753134,0.08863587778266205,True,False
CORE_ASMO,3-hydroxy-3-methylglutarate,193,0.2138540571199106,0.0028239274418694698,0.08863587778266205,True,False
CORE_ASDO,glucuronate,193,0.21383297089145809,0.0028267126858031438,0.08863587778266205,True,False
CORE_ASDO_var2,glucuronate,193,0.21383297089145809,0.0028267126858031438,0.08863587778266205,True,False
CORE_ASMO,glucose,193,0.21354471912339856,0.0028650377137413065,0.08928716507301694,True,False
CORE_TAL,3-ureidopropionate,193,0.21335121736957735,0.002891028444297717,0.08928716507301694,True,False
CORE_ASDO,arabinose,193,0.2133069481206962,0.0028970045239997176,0.08928716507301694,True,False
CORE_ASDO_var2,arabinose,193,0.2133069481206962,0.0028970045239997176,0.08928716507301694,True,False
CORE_ASMO,taurine,193,0.21315804662775856,0.0029171875044365046,0.08952662247657903,True,False
CORE_ASDO,N-acetylglucosamine/N-acetylgalactosamine,193,0.21281993418985767,0.002963490831040355,0.09018015136482296,True,False
CORE_ASDO_var2,N-acetylglucosamine/N-acetylgalactosamine,193,0.21281993418985767,0.002963490831040355,0.09018015136482296,True,False
CORE_EMP2,glucose,193,-0.21160394743870517,0.003135566693163012,0.09501557559282203,True,False
CORE_TAL,cysteine,193,0.21134848467277637,0.0031728464782582633,0.0957429656953916,True,False
CORE_TAL,2-palmitoylglycerol (16:0),193,0.21072228038548588,0.0032659298458157567,0.09775657460227838,True,False
CORE_ASMO,3-ureidopropionate,193,0.21071726443391536,0.003266685313248626,0.09775657460227838,True,False
